TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks
126257,2022-12-30,Laxmi Nagar,Kirti Nagar,1.07,175.89,100.6,13.0,Single,festival
119573,2024-01-14,Rajouri Garden,Barakhamba Road,4.93,198.05,56.67,23.0,Smart Card,maintenance
83320,2022-09-21,New Delhi,Pragati Maidan,3.91,147.48,35.03,20.0,Smart Card,maintenance
93620,2024-06-03,Noida City Centre,Dilshad Garden,11.27,121.17,70.06,24.0,Smart Card,peak
104277,2023-12-30,Rajiv Chowk,Central Secretariat,5.72,115.06,10.05,16.0,Tourist Card,maintenance
63454,2024-06-05,Central Secretariat,Kashmere Gate,28.56,134.67,89.9,11.0,Tourist Card,weekend
1875,2024-03-13,Kashmere Gate,Model Town,2.29,63.71,94.69,24.0,Tourist Card,festival
93176,2024-05-24,Jasola Vihar,Punjabi Bagh,1.16,100.4,37.6,16.0,Single,peak
28115,2023-09-11,Rajiv Chowk,New Delhi,2.39,131.33,57.64,13.0,Tourist Card,festival
19115,2023-01-30,Mandi House,Laxmi Nagar,7.51,108.12,59.04,12.0,Smart Card,weekend
60308,2024-06-11,Laxmi Nagar,Kirti Nagar,7.47,141.99,63.24,28.0,Single,weekend
22876,2023-12-15,Chandni Chowk,Kalkaji Mandir,1.81,186.17,94.6,14.0,Single,
100686,2023-03-02,Janakpuri West,Kalkaji Mandir,0.74,83.2,44.57,18.0,Tourist Card,maintenance
133633,2022-05-29,Kalkaji Mandir,Noida City Centre,6.72,72.01,103.54,22.0,Tourist Card,off-peak
65360,2022-08-10,Central Secretariat,Rajouri Garden,2.92,68.37,74.24,27.0,Single,weekend
16430,2023-10-16,Jasola Vihar,Rajouri Garden,14.46,78.91,50.56,15.0,Smart Card,weekend
39509,2022-05-07,Model Town,Chandni Chowk,2.99,75.06,98.2,26.0,Tourist Card,off-peak
141741,2023-04-10,Rajiv Chowk,Janakpuri West,5.22,97.69,45.21,25.0,Smart Card,maintenance
121112,2024-05-09,Mandi House,AIIMS,4.09,14.65,101.27,18.0,Tourist Card,weekend
54975,2022-04-18,INDERLOK,Mandi House,2.56,55.29,23.49,22.0,Tourist Card,off-peak
83211,2024-02-05,Inderlok,New Delhi,1.69,98.15,86.22,13.0,Single,weekend
49019,2023-09-09,Kashmere Gate,Central Secretariat,15.25,168.92,86.45,26.0,Smart Card,maintenance
76878,2023-12-29,AIIMS,Dilshad Garden,3.12,194.32,90.38,25.0,Tourist Card,festival
132373,2023-03-29,Rajiv Chowk,Netaji Subhash Place,13.24,43.48,18.62,20.0,Smart Card,weekend
131428,2024-07-29,Rajiv Chowk,Hauz Khas,1.47,31.31,36.63,21.0,Smart Card,festival
90007,2022-09-11,Chandni Chowk,Barakhamba Road,1.23,136.16,82.35,16.0,Smart Card,off-peak
54244,2022-10-01,noida city centre,Dilshad Garden,3.49,91.33,65.55,21.0,Tourist Card,maintenance
123502,2022-09-27,Mandi House,Chandni Chowk,10.16,149.45,92.26,26.0,Single,off-peak
103533,2022-07-12,New Delhi,Janakpuri West,15.75,137.83,58.51,19.0,Tourist Card,festival
53154,2023-09-16,Rajiv Chowk,Kalkaji Mandir,2.7199999999999998,47.26,36.94,20.0,Tourist Card,peak
113080,2022-12-23,Rajiv Chowk,Rajouri Garden,2.2,136.19,39.57,14.0,Tourist Card,festival
44385,2022-12-04,HAUZ KHAS,Pragati Maidan,8.14,136.31,37.0,22.0,Single,peak
39363,2023-01-04,Noida City Centre,Hauz Khas,1.2,112.08,35.53,21.0,Tourist Card,off-peak
93862,2023-08-03,Jasola Vihar,Shivaji Park,4.86,175.59,117.8,15.0,Single,weekend
114950,2023-07-09,Rajiv Chowk,Netaji Subhash Place,10.4,66.45,34.29,16.0,Tourist Card,maintenance
135360,2022-05-01,Chandni Chowk,Mandi House,5.61,18.99,18.44,21.0,Smart Card,festival
38957,2022-12-23,Dilshad Garden,Hauz Khas,2.48,83.16,116.94,18.0,Tourist Card,
21701,2022-03-01,model town,Laxmi Nagar,8.67,191.9,17.08,24.0,Tourist Card,weekend
106707,2022-11-17,Noida City Centre,Rajiv Chowk,2.75,146.81,66.34,18.0,Smart Card,peak
26451,2023-04-21,Jasola Vihar,Shivaji Park,0.76,197.97,75.42,23.0,Tourist Card,
6356,2024-11-26,Laxmi Nagar,Mandi House,0.71,150.59,57.37,21.0,Smart Card,weekend
48086,2022-05-06,Rajiv Chowk,Rajouri Garden,6.83,29.83,43.03,22.0,Single,maintenance
97457,2023-08-26,Rajiv Chowk,Jasola Vihar,0.9,72.58,42.21,20.0,Single,weekend
96646,2024-03-09,Rajiv Chowk,New Delhi,3.89,26.69,59.39,15.0,Single,weekend
26395,2024-01-06,Noida City Centre,Chandni Chowk,11.15,61.67,92.72,20.0,Tourist Card,weekend
59512,2023-03-25,Rajiv Chowk,Mandi House,1.3599999999999999,117.85,102.81,18.0,Tourist Card,festival
61812,2023-05-22,New Delhi,Kalkaji Mandir,7.7,43.72,38.04,15.0,Single,
14145,2023-07-14,Dilshad Garden,Model Town,5.32,169.9,65.44,16.0,Tourist Card,off-peak
116223,2024-07-21,Mandi House,Noida City Centre,11.27,154.62,76.28,17.0,Tourist Card,off-peak
23214,2022-12-16,New Delhi,Barakhamba Road,1.1,153.57,52.5,27.0,Single,festival
117313,2022-12-25,Rajouri Garden,Old Delhi,1.3,127.19,100.38,27.0,Single,
2175,2022-09-06,Noida City Centre,Pragati Maidan,6.13,105.8,99.96,17.0,Single,weekend
76487,2023-10-09,Noida City Centre,Kashmere Gate,13.61,80.4,41.58,19.0,Smart Card,maintenance
118099,2024-09-26,Jasola Vihar,Inderlok,6.21,76.26,77.59,22.0,Tourist Card,festival
136527,2024-05-09,Chandni Chowk,Pragati Maidan,6.71,172.19,103.57,20.0,Smart Card,
37411,2023-05-25,Rajiv Chowk,New Delhi,1.23,87.88,76.14,25.0,Single,peak
57635,2022-01-02,Laxmi Nagar,Kalkaji Mandir,9.34,62.03,79.39,23.0,Single,weekend
149187,2024-03-06,Rajouri Garden,Model Town,1.8,54.93,21.12,15.0,Tourist Card,
76100,2024-02-11,Mandi House,Laxmi Nagar,14.5,126.66,26.15,14.0,Tourist Card,
83494,2023-01-02,Hauz Khas,Dilshad Garden,0.76,87.72,42.86,20.0,Smart Card,peak
144087,2023-10-02,Inderlok,New Delhi,8.82,147.43,82.11,16.0,Single,off-peak
136086,2022-05-15,Noida City Centre,Janakpuri West,7.49,53.47,29.76,24.0,Tourist Card,
68639,2024-08-29,Kalkaji Mandir,Jasola Vihar,1.08,130.83,102.98,14.0,Tourist Card,weekend
16090,2024-11-02,AIIMS,Pragati Maidan,9.95,68.28,38.87,14.0,Smart Card,festival
46642,2022-10-15,Rajiv Chowk,Hauz Khas,3.18,21.59,11.48,12.0,Tourist Card,peak
90505,2022-12-29,Rajouri Garden,Noida City Centre,1.1,154.2,27.57,18.0,Smart Card,peak
96328,2022-05-19,Laxmi Nagar,Central Secretariat,1.6400000000000001,140.68,68.35,28.0,Smart Card,festival
34472,2023-11-05,Kalkaji Mandir,New Delhi,6.55,10.6,93.31,22.0,Single,maintenance
85837,2023-07-03,New Delhi,Inderlok,0.73,63.0,32.34,21.0,Single,maintenance
17725,2024-03-23,Central Secretariat,New Delhi,0.59,179.59,111.16,14.0,Smart Card,peak
27708,2024-02-05,Chandni Chowk,Barakhamba Road,0.74,188.37,48.21,17.0,Single,maintenance
74809,2023-07-10,Mandi House,Kashmere Gate,3.02,21.95,58.95,14.0,Single,festival
114768,2022-05-21,Central Secretariat,Laxmi Nagar,4.99,53.21,7.33,25.0,Single,
143037,2023-10-27,Central Secretariat,Inderlok,1.63,158.92,97.73,16.0,Smart Card,festival
40890,2023-04-23,Noida City Centre,Punjabi Bagh,4.64,179.1,83.84,19.0,Single,off-peak
111519,2024-05-09,dilshad garden,Model Town,4.04,67.26,105.66,13.0,,maintenance
114470,2024-09-15,Noida City Centre,Mandi House,14.41,184.59,61.85,12.0,Tourist Card,festival
91524,2023-11-25,Kashmere Gate,Netaji Subhash Place,7.32,73.06,82.33,28.0,Tourist Card,weekend
40235,2024-12-26,Hauz Khas,AIIMS,7.16,107.95,75.35,16.0,Single,weekend
38877,2024-09-28,Jasola Vihar,Dilshad Garden,8.27,151.56,15.17,28.0,Tourist Card,
19840,2024-08-30,Dilshad Garden,Jasola Vihar,13.45,51.49,77.66,21.0,Single,off-peak
7129,2022-12-22,AIIMS,Janakpuri West,1.52,43.09,27.69,21.0,,weekend
122489,2022-11-06,CHANDNI CHOWK,Mandi House,3.87,55.06,79.17,18.0,Tourist Card,off-peak
53041,2023-01-11,Dilshad Garden,Janakpuri West,7.63,162.06,101.46,21.0,Tourist Card,maintenance
52627,2024-02-24,Hauz Khas,Rajouri Garden,6.77,93.27,30.93,,Single,maintenance
114553,2023-07-03,Kalkaji Mandir,Jasola Vihar,2.51,147.51,100.16,20.0,Tourist Card,off-peak
81004,2023-10-08,Noida City Centre,Kalkaji Mandir,0.6000000000000001,21.87,111.19,29.0,Smart Card,festival
40157,2024-08-16,Janakpuri West,Laxmi Nagar,42.49,131.99,73.24,15.0,Single,peak
121774,2023-04-09,Rajiv Chowk,Chandni Chowk,1.28,33.13,71.94,17.0,Smart Card,peak
66448,2023-08-08,New Delhi,Model Town,4.25,24.48,110.02,24.0,Tourist Card,
87784,2022-04-03,Rajouri Garden,New Delhi,1.77,117.2,28.1,10.0,Single,maintenance
6874,2023-01-08,inderlok,Pragati Maidan,1.87,185.3,75.64,22.0,Single,peak
84538,2024-09-22,Rajouri Garden,New Delhi,1.1,141.23,111.31,18.0,Single,peak
42858,2023-02-26,Model Town,Mandi House,8.44,43.53,71.57,11.0,Tourist Card,
36963,2022-08-18,Rajiv Chowk,Rajouri Garden,11.97,12.52,46.39,21.0,Tourist Card,
86074,2023-10-22,Noida City Centre,AIIMS,2.26,168.7,73.25,11.0,Tourist Card,festival
145224,2022-02-18,Kalkaji Mandir,Janakpuri West,9.57,18.7,98.74,20.0,Tourist Card,peak
126285,2022-03-04,Noida City Centre,Noida City Centre,2.86,106.65,117.51,20.0,Tourist Card,
47921,2022-07-18,Central Secretariat,Laxmi Nagar,0.74,134.85,88.13,15.0,Single,weekend
95273,2024-07-02,Rajiv Chowk,Inderlok,6.27,194.59,115.43,16.0,Tourist Card,festival
114488,2023-11-04,Rajiv Chowk,Old Delhi,1.99,46.22,8.38,20.0,Single,festival
58669,2024-01-31,Model Town,Hauz Khas,1.05,138.63,19.04,21.0,Tourist Card,maintenance
133634,2023-03-04,Mandi House,Barakhamba Road,6.87,192.85,81.64,18.0,Tourist Card,festival
101492,2024-10-13,Noida City Centre,Jasola Vihar,1.01,183.27,56.59,13.0,Tourist Card,festival
66477,2024-08-06,Mandi House,Shivaji Park,3.96,173.72,52.67,13.0,Tourist Card,peak
102358,2024-02-02,Janakpuri West,Inderlok,5.16,64.55,101.59,19.0,Tourist Card,festival
76829,2022-07-01,Central Secretariat,AIIMS,9.88,156.39,80.03,24.0,Tourist Card,festival
101289,2023-02-16,Model Town,Shivaji Park,9.33,113.63,16.24,16.0,Smart Card,weekend
49012,2023-09-17,New Delhi,Laxmi Nagar,10.13,156.34,92.19,17.0,Smart Card,weekend
95650,2023-06-25,Rajiv Chowk,Dilshad Garden,0.53,117.08,45.97,34.0,Smart Card,peak
62588,2023-11-22,Noida City Centre,Pragati Maidan,7.87,196.24,67.01,12.0,Tourist Card,peak
101837,2024-05-08,Noida City Centre,Barakhamba Road,1.26,93.36,42.86,19.0,Tourist Card,
81906,2024-11-02,Rajouri Garden,Janakpuri West,4.8100000000000005,103.65,13.75,17.0,Single,maintenance
60285,2023-05-11,Chandni Chowk,AIIMS,0.62,123.56,77.35,25.0,Tourist Card,maintenance
25453,2023-03-20,CENTRAL SECRETARIAT,Punjabi Bagh,6.37,113.04,21.28,20.0,Smart Card,festival
144004,2022-09-28,Chandni Chowk,Pragati Maidan,7.31,155.3,42.85,24.0,Smart Card,peak
62257,2024-07-31,Rajiv Chowk,Old Delhi,1.28,154.31,72.91,30.0,Single,weekend
76453,2022-06-19,Chandni Chowk,Punjabi Bagh,0.8,39.09,68.17,26.0,Smart Card,off-peak
80017,2024-04-29,Mandi House,Model Town,9.65,22.02,82.8,27.0,Smart Card,weekend
58298,2023-05-17,Chandni Chowk,Rajiv Chowk,7.66,68.92,61.43,20.0,Tourist Card,off-peak
90227,2024-09-14,Model Town,Noida City Centre,1.22,89.32,27.23,26.0,Tourist Card,
139901,2023-11-26,Noida City Centre,Chandni Chowk,3.65,171.92,22.9,28.0,Tourist Card,peak
112923,2024-05-04,Kashmere Gate,Chandni Chowk,12.77,126.12,118.73,26.0,Smart Card,weekend
14639,2024-02-05,New Delhi,Model Town,0.98,122.88,97.78,22.0,Single,maintenance
66511,2024-12-04,AIIMS,Old Delhi,1.0,152.09,93.78,18.0,Tourist Card,maintenance
147073,2023-07-11,New Delhi,Netaji Subhash Place,19.88,198.43,56.97,17.0,Single,festival
65062,2023-09-15,Mandi House,Old Delhi,3.27,30.82,69.77,27.0,Smart Card,maintenance
5255,2024-08-02,Rajiv Chowk,Kashmere Gate,9.18,149.01,80.91,24.0,Single,weekend
6975,2023-08-22,New Delhi,Rajouri Garden,3.64,165.34,104.79,14.0,Single,off-peak
53441,2024-10-03,Kalkaji Mandir,Mandi House,4.07,171.72,27.05,12.0,Single,festival
35770,2024-02-18,Rajiv Chowk,Dilshad Garden,3.99,181.76,59.84,16.0,Single,off-peak
1953,2023-10-18,Noida City Centre,Janakpuri West,10.49,140.66,8.79,18.0,Tourist Card,off-peak
19671,2024-08-08,Rajiv Chowk,Inderlok,6.23,115.91,57.63,23.0,Single,weekend
57564,2024-08-01,JASOLA VIHAR,Barakhamba Road,1.77,149.33,116.24,15.0,Tourist Card,festival
82784,2024-09-15,Inderlok,Kirti Nagar,7.4,97.83,94.97,14.0,Tourist Card,peak
31957,2023-06-25,New Delhi,Central Secretariat,3.65,179.48,54.85,21.0,Tourist Card,maintenance
43800,2023-05-18,Central Secretariat,New Delhi,0.76,56.94,88.06,15.0,Smart Card,festival
77477,2023-02-22,Dilshad Garden,Noida City Centre,1.79,119.94,62.04,25.0,Single,festival
47749,2024-06-01,Hauz Khas,Kalkaji Mandir,4.55,118.76,6.4,28.0,Tourist Card,peak
67503,2022-04-05,Mandi House,New Delhi,7.64,161.31,70.53,21.0,Single,festival
80114,2023-08-14,Hauz Khas,Barakhamba Road,7.73,160.72,89.74,19.0,Tourist Card,maintenance
90990,2022-05-09,Mandi House,Pragati Maidan,1.6400000000000001,139.89,111.64,26.0,Tourist Card,festival
4728,2024-07-13,Central Secretariat,Pragati Maidan,1.25,68.37,118.25,23.0,Smart Card,weekend
106478,2024-03-28,Mandi House,Old Delhi,6.7,113.9,115.59,20.0,Single,peak
91936,2024-12-23,Rajiv Chowk,Mandi House,0.53,102.97,11.62,17.0,Tourist Card,
11751,2023-08-08,Inderlok,Noida City Centre,3.19,197.03,90.9,,Tourist Card,peak
53747,2023-04-30,Kalkaji Mandir,Dilshad Garden,6.73,43.48,60.34,23.0,Tourist Card,off-peak
14772,2024-08-08,Dilshad Garden,Kashmere Gate,1.02,169.59,86.26,26.0,Tourist Card,maintenance
76803,2022-08-22,Inderlok,Netaji Subhash Place,5.57,117.02,70.94,26.0,Tourist Card,maintenance
37515,2023-04-15,Kashmere Gate,Noida City Centre,5.8,153.48,119.7,17.0,Tourist Card,festival
73050,2024-05-02,Noida City Centre,Model Town,1.02,19.04,76.51,23.0,Smart Card,peak
10767,2023-10-06,DILSHAD GARDEN,Central Secretariat,4.69,61.64,10.93,27.0,Single,festival
66095,2024-11-26,Chandni Chowk,Central Secretariat,1.58,114.41,73.38,12.0,Tourist Card,
133709,2024-12-13,Dilshad Garden,Janakpuri West,2.85,94.35,13.52,16.0,Tourist Card,off-peak
71022,2023-01-03,Rajiv Chowk,Hauz Khas,6.49,167.41,12.85,18.0,Smart Card,maintenance
138769,2022-10-19,Mandi House,Rajouri Garden,3.92,167.19,114.99,28.0,Single,maintenance
35938,2022-10-30,Rajiv Chowk,Rajiv Chowk,5.09,31.53,19.36,23.0,Smart Card,off-peak
31048,2022-03-11,Inderlok,Hauz Khas,8.78,83.3,42.43,15.0,Tourist Card,peak
15821,2022-03-17,Hauz Khas,Netaji Subhash Place,3.18,183.91,83.65,17.0,Single,weekend
102087,2022-12-10,Janakpuri West,AIIMS,2.07,194.15,105.76,18.0,Tourist Card,festival
107690,2022-12-27,Rajiv Chowk,Barakhamba Road,4.65,36.47,37.45,19.0,Smart Card,
145178,2022-11-30,KASHMERE GATE,Shivaji Park,1.72,111.45,29.52,11.0,Smart Card,peak
63592,2022-04-29,Kashmere Gate,Jasola Vihar,3.35,36.81,55.1,15.0,Tourist Card,off-peak
64499,2023-05-05,Noida City Centre,Jasola Vihar,1.45,105.84,96.86,23.0,Tourist Card,peak
1109,2024-02-02,Noida City Centre,Jasola Vihar,2.79,28.88,58.16,18.0,Smart Card,
32902,2023-10-19,Model Town,Punjabi Bagh,8.21,197.26,51.09,22.0,Smart Card,
42857,2023-07-28,Mandi House,Rajouri Garden,0.53,112.29,90.71,,Tourist Card,maintenance
83130,2023-09-23,Rajiv Chowk,AIIMS,2.15,72.59,118.6,19.0,Smart Card,peak
61645,2024-11-17,Kashmere Gate,Rajiv Chowk,6.4,13.41,43.9,22.0,Smart Card,festival
70595,2022-11-27,Noida City Centre,Rajouri Garden,3.4,34.45,50.68,19.0,Tourist Card,off-peak
21745,2022-11-17,Mandi House,Netaji Subhash Place,9.32,130.28,13.27,16.0,Tourist Card,
138403,2024-05-20,Chandni Chowk,Noida City Centre,13.15,106.65,59.82,14.0,Tourist Card,
20327,2022-05-15,Mandi House,Barakhamba Road,8.93,27.5,113.44,14.0,Tourist Card,peak
43976,2022-02-10,Noida City Centre,Rajiv Chowk,2.64,100.33,33.86,28.0,Tourist Card,festival
41489,2022-04-03,Central Secretariat,Kalkaji Mandir,2.96,59.1,22.81,23.0,Smart Card,off-peak
62448,2023-04-21,Noida City Centre,Inderlok,5.53,89.56,17.99,27.0,Tourist Card,weekend
115332,2023-11-27,Dilshad Garden,Rajouri Garden,9.94,15.47,56.98,28.0,Tourist Card,maintenance
132631,2023-08-18,Kalkaji Mandir,Hauz Khas,1.45,126.18,52.34,13.0,Smart Card,weekend
57791,2023-03-28,Jasola Vihar,Kashmere Gate,3.56,135.18,101.07,24.0,Smart Card,
147382,2024-01-20,Noida City Centre,Mandi House,1.25,195.56,93.25,19.0,Single,
102201,2023-01-20,Mandi House,Mandi House,2.8,127.31,26.82,23.0,Single,
74799,2023-07-07,Model Town,Kalkaji Mandir,1.8,95.58,56.81,14.0,Smart Card,festival
126892,2024-07-04,Mandi House,Rajouri Garden,18.25,130.59,12.26,16.0,Smart Card,weekend
34270,2022-07-09,Laxmi Nagar,Old Delhi,10.68,124.16,57.62,21.0,Smart Card,peak
141205,2022-04-09,Rajiv Chowk,Jasola Vihar,5.42,142.39,118.58,23.0,Tourist Card,off-peak
67462,2023-12-25,Mandi House,Punjabi Bagh,21.04,153.2,14.78,25.0,,
79116,2023-05-13,Laxmi Nagar,Netaji Subhash Place,13.02,82.67,10.19,16.0,Tourist Card,off-peak
95136,2022-03-09,New Delhi,Kirti Nagar,1.47,132.24,30.48,19.0,Tourist Card,off-peak
59366,2024-11-01,hauz khas,Kalkaji Mandir,2.27,10.1,100.43,17.0,Tourist Card,off-peak
19355,2024-06-18,Noida City Centre,Kalkaji Mandir,2.26,103.43,110.95,27.0,Tourist Card,off-peak
123544,2024-05-05,Kalkaji Mandir,Central Secretariat,13.32,61.94,101.19,28.0,Tourist Card,off-peak
12890,2024-05-08,Model Town,AIIMS,9.42,193.8,34.08,20.0,Smart Card,peak
108240,2024-07-04,AIIMS,Janakpuri West,12.21,86.79,44.28,21.0,Tourist Card,
141362,2022-07-02,Hauz Khas,Kirti Nagar,0.71,154.83,90.51,19.0,Smart Card,festival
120717,2022-11-17,AIIMS,Jasola Vihar,3.74,183.78,70.72,23.0,Single,peak
83951,2024-12-12,AIIMS,Kirti Nagar,10.75,142.91,65.79,19.0,Tourist Card,off-peak
16629,2023-09-13,Janakpuri West,Rajiv Chowk,2.9,164.54,17.74,22.0,Smart Card,weekend
47226,2022-05-21,Chandni Chowk,Kalkaji Mandir,11.06,192.36,7.17,22.0,Tourist Card,maintenance
981,2023-01-01,Kashmere Gate,Laxmi Nagar,7.01,42.84,58.24,20.0,Tourist Card,maintenance
136096,2022-11-17,Kashmere Gate,Old Delhi,6.08,151.69,51.16,19.0,Single,weekend
130270,2023-03-17,Dilshad Garden,Kirti Nagar,2.65,100.34,37.79,24.0,Smart Card,peak
147974,2022-06-03,Inderlok,Barakhamba Road,1.28,196.92,54.39,12.0,Tourist Card,peak
31940,2024-03-25,Rajiv Chowk,Netaji Subhash Place,5.86,137.53,60.9,28.0,Single,
4205,2022-04-29,New Delhi,Model Town,7.54,197.36,116.88,15.0,Smart Card,weekend
113892,2024-09-05,Model Town,Mandi House,1.07,177.34,23.66,24.0,Tourist Card,maintenance
81652,2024-08-30,Rajiv Chowk,Chandni Chowk,1.71,55.64,48.1,23.0,Tourist Card,peak
2772,2022-10-28,Central Secretariat,Rajouri Garden,2.36,52.41,20.7,16.0,Smart Card,maintenance
107949,2022-05-07,Noida City Centre,Janakpuri West,3.88,76.63,83.02,24.0,Tourist Card,festival
65518,2024-05-13,Inderlok,Punjabi Bagh,0.6900000000000001,94.56,58.26,29.0,Single,off-peak
47496,2022-03-14,Inderlok,Laxmi Nagar,1.46,152.84,95.48,16.0,Tourist Card,festival
44072,2023-07-21,Mandi House,Kirti Nagar,3.8200000000000003,87.83,103.41,22.0,Smart Card,maintenance
76838,2024-09-09,Rajiv Chowk,Hauz Khas,5.3,104.4,32.57,21.0,Tourist Card,maintenance
88674,2023-12-12,New Delhi,Kashmere Gate,18.39,21.31,47.23,21.0,Single,off-peak
73217,2023-03-06,Central Secretariat,Model Town,2.42,160.23,25.7,21.0,Single,maintenance
65414,2024-02-05,Central Secretariat,Rajouri Garden,18.8,159.98,65.92,26.0,Smart Card,off-peak
51301,2022-07-13,Rajiv Chowk,Old Delhi,5.76,114.85,97.06,9.0,Tourist Card,weekend
101362,2024-12-02,Jasola Vihar,Pragati Maidan,4.75,121.64,31.45,15.0,Tourist Card,maintenance
54737,2022-03-19,Rajiv Chowk,Punjabi Bagh,3.16,132.41,24.75,15.0,Tourist Card,
84953,2022-05-16,Noida City Centre,Model Town,2.37,186.19,55.59,28.0,Single,peak
61255,2024-03-16,Chandni Chowk,New Delhi,14.25,23.43,112.18,20.0,Smart Card,weekend
87713,2024-04-12,Dilshad Garden,Hauz Khas,10.84,47.62,88.81,19.0,Tourist Card,off-peak
26965,2022-12-27,Kashmere Gate,Punjabi Bagh,2.94,150.86,35.17,17.0,Tourist Card,maintenance
55378,2024-01-14,Mandi House,Central Secretariat,3.8200000000000003,59.92,67.34,11.0,Tourist Card,weekend
68075,2024-12-23,Model Town,Jasola Vihar,1.3,188.55,92.09,22.0,Tourist Card,festival
29362,2023-09-18,Inderlok,Hauz Khas,11.92,74.42,66.17,12.0,Single,
49164,2022-09-09,MANDI HOUSE,AIIMS,5.37,91.41,7.86,21.0,Tourist Card,off-peak
101358,2022-11-29,Inderlok,Kashmere Gate,3.81,183.84,105.25,15.0,Tourist Card,off-peak
77247,2022-01-20,jasola vihar,Laxmi Nagar,15.79,89.34,108.59,14.0,Smart Card,
9318,2023-02-10,New Delhi,Rajouri Garden,0.53,47.02,70.87,22.0,Tourist Card,
111215,2022-02-21,Chandni Chowk,Rajiv Chowk,0.89,186.09,39.06,10.0,Smart Card,off-peak
148661,2022-11-17,Inderlok,Model Town,3.24,171.97,32.74,22.0,Tourist Card,peak
72963,2024-09-19,Chandni Chowk,Central Secretariat,12.6,55.63,7.4,15.0,Smart Card,maintenance
125920,2024-07-13,AIIMS,Punjabi Bagh,0.72,120.87,30.22,18.0,Tourist Card,peak
111550,2022-08-07,Dilshad Garden,Pragati Maidan,0.65,98.94,103.15,12.0,Tourist Card,
83600,2023-01-09,Noida City Centre,Model Town,5.59,49.62,96.34,,Smart Card,maintenance
140900,2022-01-15,Mandi House,Kashmere Gate,11.23,88.38,50.7,26.0,Tourist Card,
30148,2022-03-22,Dilshad Garden,Old Delhi,5.77,103.33,116.91,24.0,Single,
20614,2023-11-23,Rajiv Chowk,Old Delhi,4.18,93.51,5.2,16.0,Tourist Card,peak
70338,2024-06-22,Noida City Centre,Netaji Subhash Place,2.51,112.58,104.11,25.0,Single,off-peak
108756,2023-08-30,Rajiv Chowk,Netaji Subhash Place,0.54,144.29,64.4,21.0,Tourist Card,
115452,2022-01-30,Dilshad Garden,Kirti Nagar,2.23,171.51,8.83,20.0,Smart Card,off-peak
81414,2023-08-25,Janakpuri West,Central Secretariat,4.02,57.78,37.32,25.0,Tourist Card,maintenance
8267,2023-12-21,New Delhi,Kirti Nagar,0.63,39.69,23.36,24.0,Tourist Card,off-peak
90602,2024-07-01,Kashmere Gate,Central Secretariat,13.26,88.09,40.06,13.0,Smart Card,off-peak
31334,2022-06-13,New Delhi,Noida City Centre,1.52,153.64,21.79,18.0,Tourist Card,
95810,2023-07-27,Laxmi Nagar,Rajouri Garden,1.18,125.16,73.08,20.0,Single,weekend
11033,2023-04-01,Central Secretariat,Jasola Vihar,3.66,157.99,11.63,27.0,Tourist Card,weekend
135475,2023-04-06,Noida City Centre,Rajiv Chowk,0.64,26.41,116.78,19.0,Tourist Card,maintenance
39058,2023-08-16,Hauz Khas,Chandni Chowk,3.7,172.31,62.51,19.0,Tourist Card,festival
139867,2023-12-22,Rajiv Chowk,Rajouri Garden,4.3,66.69,111.96,14.0,Tourist Card,peak
116553,2024-06-05,Model Town,Pragati Maidan,7.32,138.4,44.46,16.0,Tourist Card,maintenance
147379,2022-12-03,Rajiv Chowk,Chandni Chowk,13.26,193.15,28.99,22.0,Tourist Card,
10435,2024-09-21,New Delhi,Kashmere Gate,5.83,149.91,69.57,22.0,Tourist Card,
97794,2022-04-12,Rajiv Chowk,Chandni Chowk,3.68,82.2,39.65,18.0,Smart Card,weekend
2105,2024-05-18,Rajiv Chowk,Noida City Centre,1.1,32.33,5.51,19.0,Tourist Card,
53660,2023-11-23,Dilshad Garden,Rajouri Garden,3.86,129.1,82.02,17.0,Tourist Card,festival
50950,2022-05-27,Model Town,Rajiv Chowk,1.1400000000000001,26.47,63.41,17.0,Single,festival
115566,2024-09-12,Chandni Chowk,Laxmi Nagar,17.5,189.16,49.54,17.0,Smart Card,maintenance
47696,2022-07-04,Rajiv Chowk,Inderlok,2.15,85.75,90.43,17.0,Tourist Card,festival
34753,2022-03-16,Rajiv Chowk,Inderlok,3.39,190.3,42.18,,Smart Card,peak
69356,2023-05-16,Noida City Centre,Model Town,1.87,34.03,50.43,25.0,Tourist Card,festival
120206,2024-10-24,Rajiv Chowk,Rajouri Garden,4.01,121.26,31.54,17.0,Single,off-peak
18600,2022-11-02,Rajiv Chowk,Punjabi Bagh,6.05,95.39,17.44,25.0,Tourist Card,
128068,2023-01-06,Janakpuri West,Mandi House,5.78,86.99,53.53,11.0,Tourist Card,weekend
31998,2024-04-15,Chandni Chowk,New Delhi,1.0,30.13,56.57,27.0,Smart Card,weekend
77519,2024-01-09,Model Town,Rajiv Chowk,3.33,26.19,65.51,24.0,Single,off-peak
137652,2024-11-01,Mandi House,Netaji Subhash Place,7.93,73.62,61.19,20.0,Tourist Card,peak
136423,2023-12-01,Central Secretariat,Shivaji Park,1.81,41.15,75.66,19.0,Smart Card,weekend
2610,2022-03-10,Noida City Centre,Model Town,11.56,145.05,86.04,14.0,Single,
